Link,Title,Visuals,Description,Skills,Importance,Date Published,Publication,Type,data,design,news,Role
https://www.minervaquest.com/2020/03/08/what-is-the-educational-value-of-the-global-rotation/,What is the educational value of the global rotation?,,"This article is part of a series analyzing the Minerva’s global rotation model, which sends all undergraduate students to seven cities in four years. I worked with another student reporter to interview Minerva staff members about the model. Each article breaks down staff responses about different topics for an audience of other college students. I also created the illustrations that accompanied each article and an animated gif using Adobe Illustrator and AfterEffects.

",,12,3/8/2020,The Minerva Quest,Student Journalism,0,1,1,Co-writer
https://www.minervaquest.com/2020/03/26/making-the-best-of-a-constrained-global-rotation/,Making the best of a constrained global rotation,,"This article is part of a series analyzing the Minerva’s global rotation model, which sends all undergraduate students to seven cities in four years. I worked with another student reporter to interview Minerva staff members about the model. Each article breaks down staff responses about different topics for an audience of other college students. I also created the illustrations that accompanied each article and an animated gif using Adobe Illustrator and AfterEffects.",,12,3/26/2020,The Minerva Quest,Student Journalism,0,0,1,Co-writer
https://www.minervaquest.com/2020/04/05/is-the-global-rotation-worth-it/,Is the global rotation worth it?,,"This article is part of a series analyzing the Minerva’s global rotation model, which sends all undergraduate students to seven cities in four years. I worked with another student reporter to interview Minerva staff members about the model. Each article breaks down staff responses about different topics for an audience of other college students. I also created the illustrations that accompanied each article and an animated gif using Adobe Illustrator and AfterEffects.",,12,4/5/2020,The Minerva Quest,Student Journalism,0,0,1,Co-writer
https://emmacstiefel.wordpress.com/2020/04/06/thank-you-video/,Thank You Video,,"I made this short animated video for people who donated to the Patreon page of the Quest, my college’s independent student news publication. I storyboarded each animation and created the final product using Adobe Illustrator, AfterEffects, and Premiere Pro.",,12,4/6/2020,The Minerva Quest,Student Journalism,0,1,0,Sole creator
https://voices.aaja.org/index/2018/8/8/accents-in-america,Living In The U.S. When You Don’t ‘Sound White’,,I created this audio story about one woman’s experience with living in the U.S. with a foreign accent for the 2018 AAJA Voices program. I worked with two other students to combine our individual audio stories into a podcast episode exploring different aspects of having a foreign accent in America. My team and I presented our work at the 2018 AAJA national conference in Houston.,,12,8/1/2018,AAJA Voices,Training Program,0,1,1,Produced individual audio story as part of a team of student jourrnalists
https://www.minervaquest.com/tag/financial-aid-profiles/,Student Financial Aid Profiles,,"I worked with three other student journalists to profile student experiences with financial aid. Many of the students we spoke to were worried about potential repercussions from Minerva administrration, so we made sure they understood how their stories would be used and protected their identities if necessary. ",,12,8/1/2020,The Minerva Quest,Student Journalism,0,0,1,Published profiles with small team of other student jourrnalists
https://www.citybeat.com/food-drink/the-dish/article/21081238/stir-cooking-classes-and-dinner-parties-highlight-the-culture-cuisine-and-stories-of-cincinnati-immigrants,"Stir Cooking Classes and Dinner Parties Highlight the Culture, Cuisine and Stories of Cincinnati Immigrants",,"I pitched and wrote this feature for Cincinnati CityBeat, where I interned in the summer of 2019.",,12,8/6/2019,Cincinnati CityBeat,Student Journalism,0,0,1,Sole creator
https://www.minervaquest.com/2020/07/07/precedent-minerva-begins-programs-to-address-racism/,Precedent: Minerva Begins Programs to Address Racism,,"This article examined Precedent, a series of conversations about racism hosted by my school in response to the June Black Lives Matter protests. I published this article about two weeks after the event in question ended, a fast turnaround for our small student paper. Writing it challenged me to rethink beliefs about authority and balance I had learned as a high school journalism student. I tried to speak to as many stakeholders in the event as possible and present them all fairly.",,12,7/7/2020,The Minerva Quest,Student Journalism,0,1,1,Sole creator
https://emmacstiefel.wordpress.com/2020/06/25/climate-change-infographics/,Climate Change Infographics,,"I created this series of infographics for FARN, an Argentina-based climate change advocacy organization. I used a minimalistic but visually-informative designs to help users with little background knowledge of greenhouse gas emissions learn about their sources, and carefully used colors and fonts to make the different graphics as distinct and clear as possible. I improved these infographics multiple times based off feedback from the FARN team.",,12,4/1/2020,NA,Volunteer Reporting,1,1,0,Sole creator
https://www.minervaquest.com/2019/12/10/travel-a-rambling-exploration-of-how-and-why-we-move-around-the-world/,Travel: A Rambling Exploration of How and Why We Move around the World,,"I wrote this opinion piece on Minerva's global rotation model, which sends students to seven cities in four years, for the Quest, our independent student news publication. I enjoyed writing something more creative after focusing on news reporting, and it helped me pose questions about the global rotation that I would later investigate in a series of articles. I also designed two animated GIFs to accompany it. ",,12,12/10/2019,The Minerva Quest,Student Journalism,0,1,0,Sole creator
http://www.streetsheet.org/parkmerced-tenants-hope-to-keep-units-amid-demolition/,Parkmerced Tenants Hope to Keep Units Amid Demolition,,"I volunteered to write this article about tenants’ rights in an apartment complex in San Francisco for the Dec. 1 issue of Street Sheet, a newspaper printed by San Francisco’s Coalition on homelessness to provide homeless vendors with a source of income and increase awareness of poverty-related issues in the city.
",,12,12/1/2017,San Francisco Street Sheet,Volunteer Reporting,0,0,1,Sole creator
http://www.journal-news.com/news/boy-who-allegedly-pushed-neighbor-off-roof-appears-court/kVuWPQHWxe4L71oc5uJ6qN/,"Boy, 12, who allegedly pushed neighbor off roof appears in court",,"This article challenged me to report on a court case for the first time, ask the young defendant's mother for a quote on the sensitive subject, and file the story within a few hours of the case.",,12,8/4/2017,Hamilton Journal-News,Professional Internship,0,0,1,Sole creator
https://emmacstiefel.wordpress.com/2020/03/30/ohio-budget-reporting/,Kasich Budget Could Mean Losses for Lakota,,"This story on Governor Kasich’s proposed plan for funding Ohio’s public schools and how it would affect my school district was published in the April 2015 issue of Spark.
",,12,4/1/2015,Lakota East Spark,Student Journalism,0,0,1,Sole creator
https://emmacstiefel.wordpress.com/2020/03/30/the-newest-normal-ohios-opiate-epidemic/,The Newest Normal: Ohio’s Opiate Epidemic,,This story on the opiate epidemic was published in the February 2016 issue of Spark.  It took first place in the 2016 National Scholastic Press Association News Story of the Year Contest.,,12,2/1/2016,Lakota East Spark,Student Journalism,0,0,1,Sole creator
https://www.citybeat.com/arts-culture/culture/blog/21075356/video-watch-the-love-unfold-during-cincinnatis-2019-pride-parade,VIDEO: Watch The Love Unfold During Cincinnati's 2019 Pride Parade,,"I created this video about Cincinnati's Pride Parade as an intern for CityBeat, a local independent paper. CityBeat didn't typically publish videos, but my editor let me work on this one after I pitched it to her.",,12,7/27/2019,Cincinnati CityBeat,Professional Internship,0,0,1,Sole creator
https://www.minervaquest.com/2019/01/31/teheran-ro-an-unexpected-history/,Teheran-Ro: An Unexpected History,,"I wrote this essay for a global history course and then published it in my college news publication. It investigates the history behind one of Teheran-ro, a central street in Seoul's prestigious Gangnam neighborhood. I was surprised by the history of South Korean-Iranian relations I discovered.",,12,1/31/2019,The Minerva Quest,Student Journalism,0,0,0,Sole creator
https://news.kcij.org/69,The State of Data Journalism,,"I wrote this short article on a data journalism panel at the Global Investigative Journalism Network's IJAsia18 conference. I was fortunate to attend the conference as a student volunteer for the Korean Center for Investigative Journalism, the local host of the event. As a student journalist from the US, I loved learning about journalism in South Korea and many other Asian countries. I worked quickly to write this article the same day I attended the event while also attending other sessions at the conference.",,12,10/5/2018,Korean Center for Investigative Journalism,Volunteer Reporting,0,0,1,Sole creator
https://news.kcij.org/75,"Journalism must Embrace Technology, Value Management Skills to Survive",,"I wrote this short article on a panel at the Global Investigative Journalism Network's IJAsia18 conference. I was fortunate to attend the conference as a student volunteer for the Korean Center for Investigative Journalism, the local host of the event. As a student journalist from the US, I loved learning about journalism in South Korea and many other Asian countries. I worked quickly to write this article the same day I attended the event while also attending other sessions at the conference.",,12,10/6/2018,Korean Center for Investigative Journalism,Volunteer Reporting,0,0,1,Sole creator
https://us19.campaign-archive.com/?u=9966decf2ee876198df5557fd&id=06341a2159,Taking a detour across the world: Why I chose not to go to journalism school,,"I wrote this short piece explaining my decision to attend Minerva instead of a traditional journalism school for The Lead, a student journalism newsletter.",,12,1/29/2019,The Lead Newsletter,Freelance,0,1,0,Sole creator
http://www.journal-news.com/news/local/middletown-woman-pleads-for-help-finding-locket-with-fiance-ashes/GfoINt0saLHCFW8x86uvEI/,Middletown woman pleads for help finding locket with fiancé’s ashes,,"This article required me to sensitively interview the subject about the death of her fiancé. After the story was published, someone contacted the subject through the Journal-News and offered to buy her another piece of cremation jewelry.",,12,7/12/2017,Hamilton Journal-News,Professional Internship,0,0,1,Sole creator
https://emmacstiefel.wordpress.com/2020/03/30/not-so-far-apart/,Not So Far Apart,,"This feature on a girl who moved to Cincinnati from India to receive treatment for injuries she sustained in an acid attack and the relationship between her and the daughter of the host family she’s currently living with was published in the May 2016 issue of Spark.
",,12,5/1/2016,Lakota East Spark,Student Journalism,0,0,1,Sole creator
https://www.minervaquest.com/2018/04/16/challenging-connections-obstacles-to-cross-class-information-sharing/,Challenging Connections,,"This article was published on the Minerva Quest Website on April 16, 2018. It explores difficulties sharing information and building relationships between classes at Minerva, which study in different places, and initiatives to improve communication.",,12,4/16/2018,The Minerva Quest,Student Journalism,0,0,1,Sole creator
https://emmacstiefel.wordpress.com/2020/03/30/21meets22-facebook-series/,#21meets22 Facebook Series,,"#21meets22 is the latest iteration of Minerva‘s annual series highlighting incoming students. As the Minerva marketing team’s content development intern this summer, I was responsible for selecting, interviewing, and writing posts about 10 students in the class of 2022. I also created short videos for promoting the series on Instagram and Twitter.",,12,7/1/2018,Minerva Schools at KGI,Student Journalism,0,1,0,Sole creator
https://www.journal-news.com/news/miami-middletown-event-highlights-immigrant-student-success/DeAZm1acKZqUIZOUvFWjgM/,Miami Middletown event highlights immigrant student success,,I wrote this article and filmed the accompanying video as an intern for the Hamilton Journal-News.,,12,7/7/2017,Hamilton Journal-News,Professional Internship,0,0,1,Sole creator
https://www.journal-news.com/news/local/butler-county-fair-work-tradition-for-one-family/r1737MLfqE2uz5irNFjapK/,Butler County Fair work a tradition for one family,,"I wrote this article about the Butler County Fair as an intern at the Hamilton Journal-News. I had to find and write a new story every day of the fair, which challenged me to work quickly and go out of my way to speak to fair attendees to find stories like this one.",,12,7/26/2017,Hamilton Journal-News,Professional Internship,0,0,1,Sole creator
https://www.daytondailynews.com/news/local/these-butler-residents-have-the-county-best-chili-recipes/xEV9nmDQolY0zEjruHYfdN/,These 3 Butler residents have the county’s best chili recipes,,"I wrote this article about the Butler County Fair as an intern at the Hamilton Journal-News. I had to find and write a new story every day of the fair, which challenged me to work quickly and go out of my way to speak to fair attendees to find stories like this one.",,12,7/28/2017,Hamilton Journal-News,Professional Internship,0,0,1,Sole creator
